t,p_app,p_inflex
0,0.024665,0.024665
1,0.07512,0.025898
2,0.114856,0.027192
3,0.147284,0.028551
4,0.174108,0.029978
5,0.197626,0.031476
6,0.218185,0.033048
7,0.236901,0.034699
8,0.254593,0.036434
9,0.270998,0.038255
10,0.286933,0.040167
11,0.302374,0.042175
12,0.317485,0.044284
13,0.332864,0.046495
14,0.347936,0.048819
15,0.363117,0.051259
16,0.378547,0.053819
17,0.394414,0.056503
18,0.41046,0.059323
19,0.426754,0.062287
20,0.443356,0.065396
21,0.460346,0.068664
22,0.477634,0.072088
23,0.495485,0.075688
24,0.51317,0.079465
